Xres,Yres
0.0,24.074
1.0,39.7815
2.0,53.918499999999995
3.0,66.23666666666666
4.0,74.938
5.0,83.2084
6.0,87.043
7.0,90.85083333333334
8.0,93.63933333333334
9.0,95.406
10.0,96.94753846153846
11.0,97.90035
12.0,98.60085000000001
13.0,98.93973913043479
14.0,99.12365217391304
15.0,99.18683333333333
16.0,99.06891666666667
17.0,98.951
18.0,98.6550909090909
19.0,98.35918181818181
20.0,97.99391304347826
21.0,97.61130434782609
22.0,97.19136363636363
23.0,96.73409090909091
24.0,96.27463636363636
25.0,95.8100909090909
26.0,95.34523809523809
27.0,94.87761904761905
28.0,94.41
29.0,93.96727272727273
30.0,93.52454545454546
31.0,93.07018181818182
32.0,92.6129090909091
33.0,92.14554545454546
34.0,91.67145454545455
35.0,91.20845454545454
36.0,90.76209090909092
37.0,90.31023809523809
38.0,89.83642857142857
39.0,89.36261904761905
40.0,88.88880952380953
41.0,88.415
42.0,87.96272727272728
43.0,87.51045454545455
44.0,87.05163636363636
45.0,86.59118181818181
46.0,86.13528571428571
47.0,85.68242857142857
48.0,85.21145454545454
49.0,84.72236363636364
50.0,84.2435
51.0,83.7885
52.0,83.33281818181818
53.0,82.87100000000001
54.0,82.40918181818182
55.0,81.9539090909091
56.0,81.49936363636364
57.0,81.05181818181818
58.0,80.60727272727273
59.0,80.17022727272727
60.0,79.74068181818181
61.0,79.31645454545455
62.0,78.90463636363637
63.0,78.48863636363637
64.0,78.035
65.0,77.58136363636363
66.0,77.15063636363637
67.0,76.72245454545454
68.0,76.258
69.0,75.778
70.0,75.328
71.0,74.898
72.0,74.46581818181818
73.0,74.02854545454545
74.0,73.59445454545455
75.0,73.189
76.0,72.78354545454545
77.0,72.39077272727272
78.0,71.9994090909091
79.0,71.59436363636364
80.0,71.18345454545454
81.0,70.77886956521739
82.0,70.38060869565217
83.0,69.97290909090908
84.0,69.52745454545455
85.0,69.082
86.0,68.67678260869565
87.0,68.27156521739131
88.0,67.86618181818181
89.0,67.46072727272727
90.0,67.07430434782609
91.0,66.70691304347825
92.0,66.33481818181818
93.0,65.94390909090909
94.0,65.553
95.0,65.18517391304347
96.0,64.81734782608694
97.0,64.42477272727272
98.0,64.0215909090909
99.0,63.61260869565217
100.0,63.19782608695652
101.0,62.784363636363636
102.0,62.37618181818182
103.0,61.968
104.0,61.658454545454546
105.0,61.34890909090909
106.0,61.12039130434783
107.0,60.91213043478261
108.0,60.60995652173913
109.0,60.21386956521739
110.0,59.8045652173913
111.0,59.34239130434783
112.0,58.88021739130435
113.0,58.48381818181818
114.0,58.094727272727276
115.0,57.79447826086957
116.0,57.532304347826084
117.0,57.25221739130435
118.0,56.94526086956522
119.0,56.62952173913043
120.0,56.23473913043478
121.0,55.83995652173913
122.0,55.45317391304348
123.0,55.06839130434783
124.0,54.72963636363636
125.0,54.43690909090909
126.0,54.16091304347826
127.0,53.92395652173913
128.0,53.687
129.0,53.339608695652174
130.0,52.99221739130435
131.0,52.61226086956522
132.0,52.218347826086955
133.0,51.8644347826087
134.0,51.570521739130434
135.0,51.28669565217391
136.0,51.09365217391304
137.0,50.900608695652174
138.0,50.61782608695652
139.0,50.31260869565217
140.0,49.97108695652174
141.0,49.59326086956521
142.0,49.22673913043478
143.0,48.905434782608694
144.0,48.58413043478261
145.0,48.34891304347826
146.0,48.12326086956522
147.0,47.88169565217392
148.0,47.62952173913044
149.0,47.351260869565216
150.0,47.01213043478261
151.0,46.673
152.0,46.34883333333334
153.0,46.02466666666667
154.0,45.74604347826087
155.0,45.49778260869565
156.0,45.26413043478261
157.0,45.064565217391305
158.0,44.865
159.0,44.58195652173913
160.0,44.298913043478265
161.0,43.992041666666665
162.0,43.674958333333336
163.0,43.379695652173915
164.0,43.13534782608696
165.0,42.891
166.0,42.731
167.0,42.571000000000005
168.0,42.344208333333334
169.0,42.088791666666665
170.0,41.81099999999999
171.0,41.481
172.0,41.151
173.0,40.879695652173915
174.0,40.60839130434783
175.0,40.401583333333335
176.0,40.22241666666667
177.0,40.03178260869565
178.0,39.81439130434783
179.0,39.597
180.0,39.31613043478261
181.0,39.03526086956522
182.0,38.774541666666664
183.0,38.52245833333333
184.0,38.28913043478261
185.0,38.0995652173913
186.0,37.91
187.0,37.73791666666666
188.0,37.56583333333333
189.0,37.346739130434784
190.0,37.096304347826084
191.0,36.842124999999996
192.0,36.579208333333334
193.0,36.316291666666665
194.0,36.1084347826087
195.0,35.906695652173916
196.0,35.739000000000004
197.0,35.594
198.0,35.4324347826087
199.0,35.204608695652176
200.0,34.97678260869565
201.0,34.708
202.0,34.434666666666665
203.0,34.19654166666667
204.0,33.993625
205.0,33.79708695652174
206.0,33.65795652173913
207.0,33.51882608695652
208.0,33.343333333333334
209.0,33.15875
210.0,32.95373913043478
211.0,32.71808695652174
212.0,32.487125
213.0,32.298375
214.0,32.109625
215.0,31.960541666666664
216.0,31.828458333333334
217.0,31.68408695652174
218.0,31.51104347826087
219.0,31.338
220.0,31.113833333333336
221.0,30.889666666666667
222.0,30.673750000000002
223.0,30.46333333333334
224.0,30.263608695652177
225.0,30.106652173913044
226.0,29.949695652173915
227.0,29.809124999999998
228.0,29.670375
229.0,29.509958333333334
230.0,29.327875000000002
231.0,29.144217391304352
232.0,28.946391304347827
233.0,28.748565217391302
234.0,28.596666666666664
235.0,28.456249999999997
236.0,28.325833333333332
237.0,28.210416666666667
238.0,28.095
239.0,27.9175
240.0,27.740000000000002
241.0,27.536217391304348
242.0,27.31491304347826
243.0,27.111749999999997
244.0,26.950916666666664
245.0,26.79008333333333
246.0,26.681
247.0,26.577666666666666
248.0,26.447041666666667
249.0,26.289125
250.0,26.127666666666666
251.0,25.934333333333335
252.0,25.741000000000003
253.0,25.573434782608697
254.0,25.41691304347826
255.0,25.282666666666668
256.0,25.181833333333334
257.0,25.081
258.0,24.947666666666663
259.0,24.81433333333333
260.0,24.658499999999997
261.0,24.487666666666666
262.0,24.32125
263.0,24.1725
264.0,24.02375
265.0,23.911
266.0,23.807250000000003
267.0,23.694565217391307
268.0,23.568478260869565
269.0,23.438583333333327
270.0,23.274416666666664
271.0,23.11025
272.0,22.950166666666668
273.0,22.791833333333333
274.0,22.64725
275.0,22.534750000000003
276.0,22.422250000000005
277.0,22.318
278.0,22.214666666666666
279.0,22.093416666666666
280.0,21.95425
281.0,21.81433333333333
282.0,21.667666666666666
283.0,21.521
284.0,21.401458333333334
285.0,21.293541666666666
286.0,21.19086956521739
287.0,21.100434782608698
288.0,21.01
289.0,20.88375
290.0,20.7575
291.0,20.618
292.0,20.469666666666665
293.0,20.328833333333332
294.0,20.218
295.0,20.107166666666668
296.0,20.024333333333335
297.0,19.9485
298.0,19.857833333333335
299.0,19.74491666666667
