Xres,Yres
0.0,59.0
1.0,63.54
2.0,68.08
3.0,72.62
4.0,77.16
5.0,81.7
6.0,85.04
7.0,88.38000000000001
8.0,91.72
9.0,95.06
10.0,98.4
11.0,98.72
12.0,99.04
13.0,99.36
14.0,99.68
15.0,100.0
16.0,99.76
17.0,99.52
18.0,99.28
19.0,99.03999999999999
20.0,98.8
21.0,98.46
22.0,98.11999999999999
23.0,97.78
24.0,97.44
25.0,97.1
26.0,96.75999999999999
27.0,96.42
28.0,96.08
29.0,95.74000000000001
30.0,95.4
31.0,95.04
32.0,94.68
33.0,94.32
34.0,93.96
35.0,93.6
36.0,93.22
37.0,92.84
38.0,92.46
39.0,92.08
40.0,91.7
41.0,91.34
42.0,90.98
43.0,90.62
44.0,90.26
45.0,89.9
46.0,89.56
47.0,89.22
48.0,88.88000000000001
49.0,88.54
50.0,88.2
51.0,87.86
52.0,87.52
53.0,87.18
54.0,86.84
55.0,86.5
56.0,86.12
57.0,85.74
58.0,85.36
59.0,84.97999999999999
60.0,84.6
61.0,84.22
62.0,83.84
63.0,83.46
64.0,83.08
65.0,82.7
66.0,82.36
67.0,82.02
68.0,81.68
69.0,81.34
70.0,81.0
71.0,80.64
72.0,80.28
73.0,79.92
74.0,79.56
75.0,79.2
76.0,78.84
77.0,78.48
78.0,78.12
79.0,77.76
80.0,77.4
81.0,77.08
82.0,76.76
83.0,76.44
84.0,76.12
85.0,75.8
86.0,75.46
87.0,75.11999999999999
88.0,74.78
89.0,74.44
90.0,74.1
91.0,73.78
92.0,73.46
93.0,73.14
94.0,72.82
95.0,72.5
96.0,72.16
97.0,71.82
98.0,71.48
99.0,71.14
100.0,70.8
101.0,70.5
102.0,70.2
103.0,69.89999999999999
104.0,69.6
105.0,69.3
106.0,68.98
107.0,68.66
108.0,68.34
109.0,68.02
110.0,67.7
111.0,67.4
112.0,67.10000000000001
113.0,66.8
114.0,66.5
115.0,66.2
116.0,65.88
117.0,65.56
118.0,65.24
119.0,64.92
120.0,64.6
121.0,64.3
122.0,64.0
123.0,63.699999999999996
124.0,63.4
125.0,63.1
126.0,62.800000000000004
127.0,62.5
128.0,62.2
129.0,61.9
130.0,61.6
131.0,61.300000000000004
132.0,61.0
133.0,60.7
134.0,60.4
135.0,60.1
136.0,59.82
137.0,59.54
138.0,59.260000000000005
139.0,58.980000000000004
140.0,58.7
141.0,58.42
142.0,58.14
143.0,57.86
144.0,57.58
145.0,57.3
146.0,57.04
147.0,56.78
148.0,56.519999999999996
149.0,56.26
150.0,56.0
151.0,55.74
152.0,55.480000000000004
153.0,55.22
154.0,54.96
155.0,54.7
156.0,54.440000000000005
157.0,54.18
158.0,53.92
159.0,53.66
160.0,53.4
161.0,53.14
162.0,52.88
163.0,52.62
164.0,52.36
165.0,52.1
166.0,51.86
167.0,51.62
168.0,51.38
169.0,51.14
170.0,50.9
171.0,50.64
172.0,50.38
173.0,50.12
174.0,49.86
175.0,49.6
176.0,49.38
177.0,49.160000000000004
178.0,48.94
179.0,48.72
180.0,48.5
181.0,48.26
182.0,48.019999999999996
183.0,47.78
184.0,47.54
185.0,47.3
186.0,47.08
187.0,46.86
188.0,46.64
189.0,46.42
190.0,46.2
191.0,45.980000000000004
192.0,45.760000000000005
193.0,45.54
194.0,45.32
195.0,45.1
196.0,44.9
197.0,44.7
198.0,44.5
199.0,44.300000000000004
200.0,44.1
201.0,43.88
202.0,43.660000000000004
203.0,43.44
204.0,43.22
205.0,43.0
206.0,42.78
207.0,42.56
208.0,42.339999999999996
209.0,42.12
210.0,41.9
211.0,41.68
212.0,41.46
213.0,41.239999999999995
214.0,41.019999999999996
215.0,40.8
216.0,40.62
217.0,40.44
218.0,40.26
219.0,40.08
220.0,39.9
221.0,39.699999999999996
222.0,39.5
223.0,39.3
224.0,39.1
225.0,38.9
226.0,38.699999999999996
227.0,38.5
228.0,38.3
229.0,38.1
230.0,37.9
231.0,37.72
232.0,37.54
233.0,37.36
234.0,37.18
235.0,37.0
236.0,36.82
237.0,36.64
238.0,36.46
239.0,36.28
240.0,36.1
241.0,35.92
242.0,35.74
243.0,35.56
244.0,35.38
245.0,35.2
246.0,35.04
247.0,34.88
248.0,34.72
249.0,34.56
250.0,34.4
251.0,34.22
252.0,34.04
253.0,33.86
254.0,33.68
255.0,33.5
256.0,33.32
257.0,33.14
258.0,32.96
259.0,32.78
260.0,32.6
261.0,32.44
262.0,32.28
263.0,32.120000000000005
264.0,31.96
265.0,31.8
266.0,31.64
267.0,31.48
268.0,31.32
269.0,31.16
270.0,31.0
271.0,30.84
272.0,30.68
273.0,30.52
274.0,30.36
275.0,30.2
276.0,30.06
277.0,29.919999999999998
278.0,29.78
279.0,29.64
280.0,29.5
281.0,29.36
282.0,29.22
283.0,29.080000000000002
284.0,28.94
285.0,28.8
286.0,28.66
287.0,28.52
288.0,28.380000000000003
289.0,28.240000000000002
290.0,28.1
291.0,27.96
292.0,27.82
293.0,27.68
294.0,27.54
295.0,27.4
296.0,27.259999999999998
297.0,27.119999999999997
298.0,26.98
299.0,26.84
300.0,26.7
301.0,26.58
302.0,26.46
303.0,26.34
304.0,26.220000000000002
305.0,26.1
306.0,25.96
307.0,25.82
308.0,25.68
309.0,25.54
