Xres,Yres
0.0,51.4
1.0,56.379999999999995
2.0,61.36
3.0,66.34
4.0,71.32
5.0,76.3
6.0,80.44
7.0,84.58
8.0,88.72
9.0,92.86
10.0,97.0
11.0,97.6
12.0,98.2
13.0,98.8
14.0,99.4
15.0,100.0
16.0,99.8
17.0,99.6
18.0,99.4
19.0,99.2
20.0,99.0
21.0,98.64
22.0,98.28
23.0,97.92
24.0,97.56
25.0,97.2
26.0,96.78
27.0,96.36
28.0,95.94
29.0,95.52
30.0,95.1
31.0,94.74
32.0,94.38
33.0,94.02
34.0,93.66
35.0,93.3
36.0,92.92
37.0,92.54
38.0,92.16
39.0,91.78
40.0,91.4
41.0,91.0
42.0,90.60000000000001
43.0,90.2
44.0,89.80000000000001
45.0,89.4
46.0,89.04
47.0,88.68
48.0,88.32
49.0,87.96
50.0,87.6
51.0,87.22
52.0,86.84
53.0,86.46
54.0,86.08
55.0,85.7
56.0,85.3
57.0,84.9
58.0,84.5
59.0,84.10000000000001
60.0,83.7
61.0,83.32000000000001
62.0,82.94
63.0,82.56
64.0,82.17999999999999
65.0,81.8
66.0,81.42
67.0,81.04
68.0,80.66
69.0,80.28
70.0,79.9
71.0,79.5
72.0,79.10000000000001
73.0,78.7
74.0,78.30000000000001
75.0,77.9
76.0,77.52000000000001
77.0,77.14
78.0,76.76
79.0,76.38
80.0,76.0
81.0,75.66
82.0,75.32
83.0,74.98
84.0,74.64
85.0,74.3
86.0,73.92
87.0,73.54
88.0,73.16
89.0,72.78
90.0,72.4
91.0,72.08
92.0,71.76
93.0,71.44
94.0,71.12
95.0,70.8
96.0,70.44
97.0,70.08
98.0,69.72
99.0,69.36
100.0,69.0
101.0,68.64
102.0,68.28
103.0,67.92
104.0,67.56
105.0,67.2
106.0,66.9
107.0,66.60000000000001
108.0,66.3
109.0,66.0
110.0,65.7
111.0,65.36
112.0,65.02
113.0,64.68
114.0,64.34
115.0,64.0
116.0,63.68
117.0,63.36
118.0,63.04
119.0,62.72
120.0,62.4
121.0,62.08
122.0,61.76
123.0,61.44
124.0,61.12
125.0,60.8
126.0,60.5
127.0,60.199999999999996
128.0,59.9
129.0,59.599999999999994
130.0,59.3
131.0,59.0
132.0,58.699999999999996
133.0,58.4
134.0,58.099999999999994
135.0,57.8
136.0,57.5
137.0,57.199999999999996
138.0,56.9
139.0,56.599999999999994
140.0,56.3
141.0,56.019999999999996
142.0,55.739999999999995
143.0,55.46
144.0,55.18
145.0,54.9
146.0,54.64
147.0,54.38
148.0,54.12
149.0,53.86
150.0,53.6
151.0,53.300000000000004
152.0,53.0
153.0,52.7
154.0,52.4
155.0,52.1
156.0,51.84
157.0,51.58
158.0,51.32
159.0,51.059999999999995
160.0,50.8
161.0,50.54
162.0,50.28
163.0,50.019999999999996
164.0,49.76
165.0,49.5
166.0,49.24
167.0,48.980000000000004
168.0,48.72
169.0,48.46
170.0,48.2
171.0,47.940000000000005
172.0,47.68
173.0,47.42
174.0,47.16
175.0,46.9
176.0,46.66
177.0,46.42
178.0,46.18
179.0,45.940000000000005
180.0,45.7
181.0,45.46
182.0,45.22
183.0,44.980000000000004
184.0,44.74
185.0,44.5
186.0,44.28
187.0,44.06
188.0,43.839999999999996
189.0,43.62
190.0,43.4
191.0,43.16
192.0,42.92
193.0,42.68
194.0,42.440000000000005
195.0,42.2
196.0,42.0
197.0,41.800000000000004
198.0,41.6
199.0,41.400000000000006
200.0,41.2
201.0,40.980000000000004
202.0,40.760000000000005
203.0,40.54
204.0,40.32
205.0,40.1
206.0,39.9
207.0,39.7
208.0,39.5
209.0,39.300000000000004
210.0,39.1
211.0,38.88
212.0,38.660000000000004
213.0,38.44
214.0,38.22
215.0,38.0
216.0,37.78
217.0,37.56
218.0,37.339999999999996
219.0,37.12
220.0,36.9
221.0,36.699999999999996
222.0,36.5
223.0,36.3
224.0,36.1
225.0,35.9
226.0,35.699999999999996
227.0,35.5
228.0,35.3
229.0,35.1
230.0,34.9
231.0,34.72
232.0,34.54
233.0,34.36
234.0,34.18
235.0,34.0
236.0,33.84
237.0,33.68
238.0,33.52
239.0,33.36
240.0,33.2
241.0,33.0
242.0,32.800000000000004
243.0,32.6
244.0,32.400000000000006
245.0,32.2
246.0,32.04
247.0,31.880000000000003
248.0,31.72
249.0,31.56
250.0,31.4
251.0,31.24
252.0,31.08
253.0,30.92
254.0,30.76
255.0,30.6
256.0,30.44
257.0,30.28
258.0,30.12
259.0,29.96
260.0,29.8
261.0,29.64
262.0,29.48
263.0,29.32
264.0,29.16
265.0,29.0
266.0,28.86
267.0,28.72
268.0,28.580000000000002
269.0,28.44
270.0,28.3
271.0,28.16
272.0,28.02
273.0,27.880000000000003
274.0,27.740000000000002
275.0,27.6
276.0,27.44
277.0,27.28
278.0,27.12
279.0,26.96
280.0,26.8
281.0,26.66
282.0,26.52
283.0,26.380000000000003
284.0,26.240000000000002
285.0,26.1
286.0,25.98
287.0,25.86
288.0,25.740000000000002
289.0,25.62
290.0,25.5
291.0,25.36
292.0,25.22
293.0,25.080000000000002
294.0,24.94
295.0,24.8
296.0,24.66
297.0,24.52
298.0,24.380000000000003
299.0,24.240000000000002
300.0,24.1
301.0,23.98
302.0,23.86
303.0,23.740000000000002
304.0,23.62
305.0,23.5
306.0,23.38
307.0,23.259999999999998
308.0,23.14
309.0,23.02
