Xres,Yres
0.0,47.3
1.0,52.58
2.0,57.86
3.0,63.14
4.0,68.42
5.0,73.7
6.0,78.2
7.0,82.7
8.0,87.2
9.0,91.7
10.0,96.2
11.0,96.94
12.0,97.68
13.0,98.42
14.0,99.16000000000001
15.0,99.9
16.0,99.7
17.0,99.5
18.0,99.30000000000001
19.0,99.10000000000001
20.0,98.9
21.0,98.52000000000001
22.0,98.14
23.0,97.76
24.0,97.38
25.0,97.0
26.0,96.58
27.0,96.16
28.0,95.74000000000001
29.0,95.32000000000001
30.0,94.9
31.0,94.5
32.0,94.10000000000001
33.0,93.7
34.0,93.30000000000001
35.0,92.9
36.0,92.48
37.0,92.06
38.0,91.64
39.0,91.22
40.0,90.8
41.0,90.38
42.0,89.96
43.0,89.54
44.0,89.12
45.0,88.7
46.0,88.28
47.0,87.86
48.0,87.44
49.0,87.02
50.0,86.6
51.0,86.16
52.0,85.72
53.0,85.28
54.0,84.84
55.0,84.4
56.0,83.98
57.0,83.56
58.0,83.14
59.0,82.72
60.0,82.3
61.0,81.88
62.0,81.46
63.0,81.04
64.0,80.62
65.0,80.2
66.0,79.78
67.0,79.36
68.0,78.94
69.0,78.52
70.0,78.1
71.0,77.69999999999999
72.0,77.3
73.0,76.89999999999999
74.0,76.5
75.0,76.1
76.0,75.72
77.0,75.34
78.0,74.96
79.0,74.58
80.0,74.2
81.0,73.8
82.0,73.4
83.0,73.0
84.0,72.60000000000001
85.0,72.2
86.0,71.82000000000001
87.0,71.44
88.0,71.06
89.0,70.67999999999999
90.0,70.3
91.0,69.92
92.0,69.54
93.0,69.16
94.0,68.78
95.0,68.4
96.0,68.08
97.0,67.76
98.0,67.44
99.0,67.12
100.0,66.8
101.0,66.44
102.0,66.08
103.0,65.72
104.0,65.36
105.0,65.0
106.0,64.66
107.0,64.32
108.0,63.98
109.0,63.64
110.0,63.3
111.0,62.94
112.0,62.58
113.0,62.22
114.0,61.86
115.0,61.5
116.0,61.16
117.0,60.82
118.0,60.48
119.0,60.14
120.0,59.8
121.0,59.46
122.0,59.12
123.0,58.78
124.0,58.44
125.0,58.1
126.0,57.78
127.0,57.46
128.0,57.14
129.0,56.82
130.0,56.5
131.0,56.2
132.0,55.9
133.0,55.6
134.0,55.3
135.0,55.0
136.0,54.72
137.0,54.44
138.0,54.160000000000004
139.0,53.88
140.0,53.6
141.0,53.300000000000004
142.0,53.0
143.0,52.7
144.0,52.4
145.0,52.1
146.0,51.800000000000004
147.0,51.5
148.0,51.2
149.0,50.9
150.0,50.6
151.0,50.36
152.0,50.12
153.0,49.88
154.0,49.64
155.0,49.4
156.0,49.12
157.0,48.839999999999996
158.0,48.56
159.0,48.28
160.0,48.0
161.0,47.74
162.0,47.480000000000004
163.0,47.22
164.0,46.96
165.0,46.7
166.0,46.46
167.0,46.22
168.0,45.980000000000004
169.0,45.74
170.0,45.5
171.0,45.24
172.0,44.980000000000004
173.0,44.72
174.0,44.46
175.0,44.2
176.0,43.92
177.0,43.64
178.0,43.36
179.0,43.08
180.0,42.8
181.0,42.58
182.0,42.36
183.0,42.14
184.0,41.92
185.0,41.7
186.0,41.480000000000004
187.0,41.260000000000005
188.0,41.04
189.0,40.82
190.0,40.6
191.0,40.38
192.0,40.160000000000004
193.0,39.94
194.0,39.72
195.0,39.5
196.0,39.28
197.0,39.06
198.0,38.839999999999996
199.0,38.62
200.0,38.4
201.0,38.199999999999996
202.0,38.0
203.0,37.8
204.0,37.6
205.0,37.4
206.0,37.199999999999996
207.0,37.0
208.0,36.8
209.0,36.6
210.0,36.4
211.0,36.18
212.0,35.96
213.0,35.739999999999995
214.0,35.519999999999996
215.0,35.3
216.0,35.099999999999994
217.0,34.9
218.0,34.699999999999996
219.0,34.5
220.0,34.3
221.0,34.099999999999994
222.0,33.9
223.0,33.699999999999996
224.0,33.5
225.0,33.3
226.0,33.12
227.0,32.94
228.0,32.76
229.0,32.58
230.0,32.4
231.0,32.22
232.0,32.04
233.0,31.86
234.0,31.68
235.0,31.5
236.0,31.32
237.0,31.14
238.0,30.96
239.0,30.78
240.0,30.6
241.0,30.44
242.0,30.28
243.0,30.12
244.0,29.96
245.0,29.8
246.0,29.62
247.0,29.44
248.0,29.259999999999998
249.0,29.08
250.0,28.9
251.0,28.759999999999998
252.0,28.619999999999997
253.0,28.48
254.0,28.34
255.0,28.2
256.0,28.04
257.0,27.88
258.0,27.72
259.0,27.56
260.0,27.4
261.0,27.24
262.0,27.08
263.0,26.92
264.0,26.76
265.0,26.6
266.0,26.46
267.0,26.32
268.0,26.18
269.0,26.04
270.0,25.9
271.0,25.759999999999998
272.0,25.619999999999997
273.0,25.48
274.0,25.34
275.0,25.2
276.0,25.06
277.0,24.919999999999998
278.0,24.78
279.0,24.64
280.0,24.5
281.0,24.36
282.0,24.22
283.0,24.080000000000002
284.0,23.94
285.0,23.8
286.0,23.68
287.0,23.56
288.0,23.44
289.0,23.32
290.0,23.2
291.0,23.06
292.0,22.919999999999998
293.0,22.78
294.0,22.64
295.0,22.5
296.0,22.4
297.0,22.3
298.0,22.2
299.0,22.1
300.0,22.0
301.0,21.86
302.0,21.72
303.0,21.580000000000002
304.0,21.44
305.0,21.3
306.0,21.2
307.0,21.1
308.0,21.0
309.0,20.900000000000002
