Xres,Yres
0.0,66.2
1.0,70.14
2.0,74.08
3.0,78.02000000000001
4.0,81.96000000000001
5.0,85.9
6.0,88.48
7.0,91.06
8.0,93.64
9.0,96.22
10.0,98.8
11.0,99.02
12.0,99.24
13.0,99.46000000000001
14.0,99.68
15.0,99.9
16.0,99.68
17.0,99.46000000000001
18.0,99.24
19.0,99.02
20.0,98.8
21.0,98.46
22.0,98.11999999999999
23.0,97.78
24.0,97.44
25.0,97.1
26.0,96.78
27.0,96.46
28.0,96.14
29.0,95.82
30.0,95.5
31.0,95.16
32.0,94.82
33.0,94.48
34.0,94.14
35.0,93.8
36.0,93.42
37.0,93.04
38.0,92.66
39.0,92.28
40.0,91.9
41.0,91.54
42.0,91.18
43.0,90.82
44.0,90.46
45.0,90.1
46.0,89.8
47.0,89.5
48.0,89.19999999999999
49.0,88.89999999999999
50.0,88.6
51.0,88.25999999999999
52.0,87.92
53.0,87.58
54.0,87.24000000000001
55.0,86.9
56.0,86.58
57.0,86.26
58.0,85.94
59.0,85.62
60.0,85.3
61.0,84.92
62.0,84.54
63.0,84.16
64.0,83.78
65.0,83.4
66.0,83.06
67.0,82.72
68.0,82.38000000000001
69.0,82.04
70.0,81.7
71.0,81.36
72.0,81.02
73.0,80.68
74.0,80.34
75.0,80.0
76.0,79.66
77.0,79.32
78.0,78.98
79.0,78.64
80.0,78.3
81.0,78.0
82.0,77.7
83.0,77.39999999999999
84.0,77.1
85.0,76.8
86.0,76.46
87.0,76.11999999999999
88.0,75.78
89.0,75.44
90.0,75.1
91.0,74.78
92.0,74.46
93.0,74.14
94.0,73.82
95.0,73.5
96.0,73.18
97.0,72.86
98.0,72.54
99.0,72.22
100.0,71.9
101.0,71.58
102.0,71.26
103.0,70.94
104.0,70.62
105.0,70.3
106.0,70.0
107.0,69.7
108.0,69.39999999999999
109.0,69.1
110.0,68.8
111.0,68.48
112.0,68.16
113.0,67.84
114.0,67.52
115.0,67.2
116.0,66.9
117.0,66.60000000000001
118.0,66.3
119.0,66.0
120.0,65.7
121.0,65.42
122.0,65.14
123.0,64.86
124.0,64.58
125.0,64.3
126.0,64.02
127.0,63.739999999999995
128.0,63.46
129.0,63.18
130.0,62.9
131.0,62.62
132.0,62.339999999999996
133.0,62.06
134.0,61.78
135.0,61.5
136.0,61.24
137.0,60.980000000000004
138.0,60.72
139.0,60.46
140.0,60.2
141.0,59.96
142.0,59.72
143.0,59.480000000000004
144.0,59.24
145.0,59.0
146.0,58.72
147.0,58.44
148.0,58.160000000000004
149.0,57.88
150.0,57.6
151.0,57.34
152.0,57.08
153.0,56.82
154.0,56.559999999999995
155.0,56.3
156.0,56.04
157.0,55.78
158.0,55.519999999999996
159.0,55.26
160.0,55.0
161.0,54.76
162.0,54.519999999999996
163.0,54.28
164.0,54.04
165.0,53.8
166.0,53.559999999999995
167.0,53.32
168.0,53.08
169.0,52.84
170.0,52.6
171.0,52.36
172.0,52.12
173.0,51.88
174.0,51.64
175.0,51.4
176.0,51.18
177.0,50.96
178.0,50.739999999999995
179.0,50.519999999999996
180.0,50.3
181.0,50.059999999999995
182.0,49.82
183.0,49.58
184.0,49.34
185.0,49.1
186.0,48.86
187.0,48.62
188.0,48.38
189.0,48.14
190.0,47.9
191.0,47.68
192.0,47.46
193.0,47.239999999999995
194.0,47.019999999999996
195.0,46.8
196.0,46.599999999999994
197.0,46.4
198.0,46.199999999999996
199.0,46.0
200.0,45.8
201.0,45.58
202.0,45.36
203.0,45.14
204.0,44.92
205.0,44.7
206.0,44.5
207.0,44.300000000000004
208.0,44.1
209.0,43.900000000000006
210.0,43.7
211.0,43.5
212.0,43.300000000000004
213.0,43.1
214.0,42.900000000000006
215.0,42.7
216.0,42.5
217.0,42.300000000000004
218.0,42.1
219.0,41.900000000000006
220.0,41.7
221.0,41.5
222.0,41.300000000000004
223.0,41.1
224.0,40.900000000000006
225.0,40.7
226.0,40.5
227.0,40.300000000000004
228.0,40.1
229.0,39.900000000000006
230.0,39.7
231.0,39.52
232.0,39.34
233.0,39.16
234.0,38.98
235.0,38.8
236.0,38.599999999999994
237.0,38.4
238.0,38.199999999999996
239.0,38.0
240.0,37.8
241.0,37.66
242.0,37.519999999999996
243.0,37.38
244.0,37.24
245.0,37.1
246.0,36.94
247.0,36.78
248.0,36.62
249.0,36.46
250.0,36.3
251.0,36.099999999999994
252.0,35.9
253.0,35.699999999999996
254.0,35.5
255.0,35.3
256.0,35.14
257.0,34.98
258.0,34.82
259.0,34.66
260.0,34.5
261.0,34.34
262.0,34.18
263.0,34.02
264.0,33.86
265.0,33.7
266.0,33.52
267.0,33.34
268.0,33.16
269.0,32.98
270.0,32.8
271.0,32.64
272.0,32.48
273.0,32.32
274.0,32.16
275.0,32.0
276.0,31.84
277.0,31.68
278.0,31.52
279.0,31.36
280.0,31.2
281.0,31.04
282.0,30.88
283.0,30.72
284.0,30.56
285.0,30.4
286.0,30.24
287.0,30.08
288.0,29.92
289.0,29.76
290.0,29.6
291.0,29.48
292.0,29.36
293.0,29.240000000000002
294.0,29.12
295.0,29.0
296.0,28.86
297.0,28.72
298.0,28.580000000000002
299.0,28.44
300.0,28.3
301.0,28.16
302.0,28.02
303.0,27.880000000000003
304.0,27.740000000000002
305.0,27.6
306.0,27.48
307.0,27.36
308.0,27.240000000000002
309.0,27.12
