Xres,Yres
0.0,62.1
1.0,66.38
2.0,70.66
3.0,74.94
4.0,79.22
5.0,83.5
6.0,86.54
7.0,89.58
8.0,92.62
9.0,95.66
10.0,98.7
11.0,98.94
12.0,99.18
13.0,99.42
14.0,99.66000000000001
15.0,99.9
16.0,99.64
17.0,99.38
18.0,99.12
19.0,98.86
20.0,98.6
21.0,98.25999999999999
22.0,97.92
23.0,97.58
24.0,97.24000000000001
25.0,96.9
26.0,96.58
27.0,96.26
28.0,95.94
29.0,95.62
30.0,95.3
31.0,94.96
32.0,94.61999999999999
33.0,94.28
34.0,93.94
35.0,93.6
36.0,93.24
37.0,92.88
38.0,92.52
39.0,92.16
40.0,91.8
41.0,91.44
42.0,91.08
43.0,90.72
44.0,90.36
45.0,90.0
46.0,89.68
47.0,89.36
48.0,89.04
49.0,88.72
50.0,88.4
51.0,88.06
52.0,87.72
53.0,87.38000000000001
54.0,87.04
55.0,86.7
56.0,86.34
57.0,85.98
58.0,85.62
59.0,85.26
60.0,84.9
61.0,84.54
62.0,84.18
63.0,83.82
64.0,83.46
65.0,83.1
66.0,82.74
67.0,82.38
68.0,82.02
69.0,81.66
70.0,81.3
71.0,80.96
72.0,80.61999999999999
73.0,80.28
74.0,79.94
75.0,79.6
76.0,79.25999999999999
77.0,78.92
78.0,78.58
79.0,78.24000000000001
80.0,77.9
81.0,77.60000000000001
82.0,77.30000000000001
83.0,77.0
84.0,76.7
85.0,76.4
86.0,76.04
87.0,75.68
88.0,75.32
89.0,74.96
90.0,74.6
91.0,74.28
92.0,73.96
93.0,73.64
94.0,73.32
95.0,73.0
96.0,72.66
97.0,72.32
98.0,71.98
99.0,71.64
100.0,71.3
101.0,71.0
102.0,70.7
103.0,70.39999999999999
104.0,70.1
105.0,69.8
106.0,69.5
107.0,69.2
108.0,68.89999999999999
109.0,68.6
110.0,68.3
111.0,67.98
112.0,67.66
113.0,67.34
114.0,67.02
115.0,66.7
116.0,66.38
117.0,66.06
118.0,65.74
119.0,65.42
120.0,65.1
121.0,64.82
122.0,64.53999999999999
123.0,64.26
124.0,63.980000000000004
125.0,63.7
126.0,63.42
127.0,63.14
128.0,62.86
129.0,62.58
130.0,62.3
131.0,62.019999999999996
132.0,61.739999999999995
133.0,61.46
134.0,61.18
135.0,60.9
136.0,60.64
137.0,60.38
138.0,60.12
139.0,59.86
140.0,59.6
141.0,59.34
142.0,59.08
143.0,58.82
144.0,58.559999999999995
145.0,58.3
146.0,58.0
147.0,57.699999999999996
148.0,57.4
149.0,57.099999999999994
150.0,56.8
151.0,56.559999999999995
152.0,56.32
153.0,56.08
154.0,55.84
155.0,55.6
156.0,55.34
157.0,55.08
158.0,54.82
159.0,54.559999999999995
160.0,54.3
161.0,54.04
162.0,53.78
163.0,53.519999999999996
164.0,53.26
165.0,53.0
166.0,52.74
167.0,52.480000000000004
168.0,52.22
169.0,51.96
170.0,51.7
171.0,51.46
172.0,51.22
173.0,50.980000000000004
174.0,50.74
175.0,50.5
176.0,50.28
177.0,50.06
178.0,49.839999999999996
179.0,49.62
180.0,49.4
181.0,49.16
182.0,48.92
183.0,48.68
184.0,48.440000000000005
185.0,48.2
186.0,47.96
187.0,47.72
188.0,47.480000000000004
189.0,47.24
190.0,47.0
191.0,46.78
192.0,46.56
193.0,46.339999999999996
194.0,46.12
195.0,45.9
196.0,45.68
197.0,45.46
198.0,45.239999999999995
199.0,45.019999999999996
200.0,44.8
201.0,44.599999999999994
202.0,44.4
203.0,44.199999999999996
204.0,44.0
205.0,43.8
206.0,43.58
207.0,43.36
208.0,43.14
209.0,42.92
210.0,42.7
211.0,42.5
212.0,42.300000000000004
213.0,42.1
214.0,41.900000000000006
215.0,41.7
216.0,41.5
217.0,41.300000000000004
218.0,41.1
219.0,40.900000000000006
220.0,40.7
221.0,40.5
222.0,40.300000000000004
223.0,40.1
224.0,39.900000000000006
225.0,39.7
226.0,39.5
227.0,39.300000000000004
228.0,39.1
229.0,38.900000000000006
230.0,38.7
231.0,38.52
232.0,38.34
233.0,38.16
234.0,37.98
235.0,37.8
236.0,37.64
237.0,37.48
238.0,37.32
239.0,37.16
240.0,37.0
241.0,36.82
242.0,36.64
243.0,36.46
244.0,36.28
245.0,36.1
246.0,35.92
247.0,35.74
248.0,35.56
249.0,35.38
250.0,35.2
251.0,35.02
252.0,34.84
253.0,34.66
254.0,34.48
255.0,34.3
256.0,34.14
257.0,33.98
258.0,33.82
259.0,33.66
260.0,33.5
261.0,33.34
262.0,33.18
263.0,33.02
264.0,32.86
265.0,32.7
266.0,32.56
267.0,32.42
268.0,32.28
269.0,32.14
270.0,32.0
271.0,31.84
272.0,31.68
273.0,31.52
274.0,31.36
275.0,31.2
276.0,31.04
277.0,30.88
278.0,30.72
279.0,30.56
280.0,30.4
281.0,30.259999999999998
282.0,30.119999999999997
283.0,29.98
284.0,29.84
285.0,29.7
286.0,29.54
287.0,29.38
288.0,29.22
289.0,29.06
290.0,28.9
291.0,28.74
292.0,28.58
293.0,28.42
294.0,28.26
295.0,28.1
296.0,27.96
297.0,27.82
298.0,27.68
299.0,27.54
300.0,27.4
301.0,27.259999999999998
302.0,27.119999999999997
303.0,26.98
304.0,26.84
305.0,26.7
306.0,26.58
307.0,26.46
308.0,26.34
309.0,26.220000000000002
