Xres,Yres
0.0,49.2
1.0,54.400000000000006
2.0,59.6
3.0,64.80000000000001
4.0,70.0
5.0,75.2
6.0,79.46000000000001
7.0,83.72
8.0,87.98
9.0,92.24000000000001
10.0,96.5
11.0,97.2
12.0,97.9
13.0,98.6
14.0,99.3
15.0,100.0
16.0,99.78
17.0,99.56
18.0,99.34
19.0,99.12
20.0,98.9
21.0,98.52000000000001
22.0,98.14
23.0,97.76
24.0,97.38
25.0,97.0
26.0,96.62
27.0,96.24
28.0,95.86
29.0,95.47999999999999
30.0,95.1
31.0,94.67999999999999
32.0,94.25999999999999
33.0,93.84
34.0,93.42
35.0,93.0
36.0,92.58
37.0,92.16
38.0,91.74000000000001
39.0,91.32000000000001
40.0,90.9
41.0,90.52000000000001
42.0,90.14
43.0,89.76
44.0,89.38
45.0,89.0
46.0,88.6
47.0,88.2
48.0,87.8
49.0,87.4
50.0,87.0
51.0,86.6
52.0,86.2
53.0,85.8
54.0,85.4
55.0,85.0
56.0,84.58
57.0,84.16
58.0,83.74000000000001
59.0,83.32000000000001
60.0,82.9
61.0,82.52000000000001
62.0,82.14
63.0,81.76
64.0,81.38
65.0,81.0
66.0,80.56
67.0,80.12
68.0,79.67999999999999
69.0,79.24
70.0,78.8
71.0,78.39999999999999
72.0,78.0
73.0,77.6
74.0,77.2
75.0,76.8
76.0,76.42
77.0,76.04
78.0,75.66
79.0,75.28
80.0,74.9
81.0,74.56
82.0,74.22
83.0,73.88000000000001
84.0,73.54
85.0,73.2
86.0,72.84
87.0,72.48
88.0,72.12
89.0,71.76
90.0,71.4
91.0,71.04
92.0,70.68
93.0,70.32
94.0,69.96
95.0,69.6
96.0,69.24
97.0,68.88
98.0,68.52
99.0,68.16
100.0,67.8
101.0,67.46
102.0,67.11999999999999
103.0,66.78
104.0,66.44
105.0,66.1
106.0,65.75999999999999
107.0,65.42
108.0,65.08
109.0,64.74000000000001
110.0,64.4
111.0,64.06
112.0,63.720000000000006
113.0,63.38
114.0,63.040000000000006
115.0,62.7
116.0,62.36
117.0,62.02
118.0,61.68
119.0,61.34
120.0,61.0
121.0,60.66
122.0,60.32
123.0,59.98
124.0,59.64
125.0,59.3
126.0,59.0
127.0,58.699999999999996
128.0,58.4
129.0,58.099999999999994
130.0,57.8
131.0,57.5
132.0,57.199999999999996
133.0,56.9
134.0,56.599999999999994
135.0,56.3
136.0,56.0
137.0,55.699999999999996
138.0,55.4
139.0,55.099999999999994
140.0,54.8
141.0,54.5
142.0,54.199999999999996
143.0,53.9
144.0,53.599999999999994
145.0,53.3
146.0,53.04
147.0,52.78
148.0,52.519999999999996
149.0,52.26
150.0,52.0
151.0,51.72
152.0,51.44
153.0,51.160000000000004
154.0,50.88
155.0,50.6
156.0,50.32
157.0,50.04
158.0,49.760000000000005
159.0,49.480000000000004
160.0,49.2
161.0,48.940000000000005
162.0,48.68
163.0,48.42
164.0,48.16
165.0,47.9
166.0,47.64
167.0,47.38
168.0,47.12
169.0,46.86
170.0,46.6
171.0,46.34
172.0,46.08
173.0,45.82
174.0,45.559999999999995
175.0,45.3
176.0,45.059999999999995
177.0,44.82
178.0,44.58
179.0,44.34
180.0,44.1
181.0,43.86
182.0,43.62
183.0,43.38
184.0,43.14
185.0,42.9
186.0,42.68
187.0,42.46
188.0,42.239999999999995
189.0,42.019999999999996
190.0,41.8
191.0,41.559999999999995
192.0,41.32
193.0,41.08
194.0,40.84
195.0,40.6
196.0,40.4
197.0,40.2
198.0,40.0
199.0,39.800000000000004
200.0,39.6
201.0,39.38
202.0,39.160000000000004
203.0,38.94
204.0,38.72
205.0,38.5
206.0,38.3
207.0,38.1
208.0,37.9
209.0,37.7
210.0,37.5
211.0,37.3
212.0,37.1
213.0,36.9
214.0,36.7
215.0,36.5
216.0,36.3
217.0,36.1
218.0,35.9
219.0,35.7
220.0,35.5
221.0,35.3
222.0,35.1
223.0,34.9
224.0,34.7
225.0,34.5
226.0,34.3
227.0,34.1
228.0,33.9
229.0,33.7
230.0,33.5
231.0,33.32
232.0,33.14
233.0,32.96
234.0,32.78
235.0,32.6
236.0,32.42
237.0,32.24
238.0,32.06
239.0,31.88
240.0,31.7
241.0,31.54
242.0,31.38
243.0,31.22
244.0,31.06
245.0,30.9
246.0,30.72
247.0,30.54
248.0,30.36
249.0,30.18
250.0,30.0
251.0,29.84
252.0,29.68
253.0,29.52
254.0,29.36
255.0,29.2
256.0,29.04
257.0,28.88
258.0,28.72
259.0,28.56
260.0,28.4
261.0,28.259999999999998
262.0,28.119999999999997
263.0,27.98
264.0,27.84
265.0,27.7
266.0,27.54
267.0,27.38
268.0,27.22
269.0,27.06
270.0,26.9
271.0,26.759999999999998
272.0,26.619999999999997
273.0,26.48
274.0,26.34
275.0,26.2
276.0,26.06
277.0,25.919999999999998
278.0,25.78
279.0,25.64
280.0,25.5
281.0,25.38
282.0,25.259999999999998
283.0,25.14
284.0,25.02
285.0,24.9
286.0,24.779999999999998
287.0,24.66
288.0,24.54
289.0,24.42
290.0,24.3
291.0,24.16
292.0,24.02
293.0,23.880000000000003
294.0,23.740000000000002
295.0,23.6
296.0,23.48
297.0,23.36
298.0,23.240000000000002
299.0,23.12
300.0,23.0
301.0,22.88
302.0,22.759999999999998
303.0,22.64
304.0,22.52
305.0,22.4
306.0,22.279999999999998
307.0,22.16
308.0,22.04
309.0,21.92
