Xres,Yres
0.0,55.5
1.0,60.24
2.0,64.98
3.0,69.72
4.0,74.46000000000001
5.0,79.2
6.0,82.92
7.0,86.64
8.0,90.36
9.0,94.08
10.0,97.8
11.0,98.24
12.0,98.67999999999999
13.0,99.12
14.0,99.56
15.0,100.0
16.0,99.8
17.0,99.6
18.0,99.4
19.0,99.2
20.0,99.0
21.0,98.68
22.0,98.36
23.0,98.04
24.0,97.72
25.0,97.4
26.0,97.02000000000001
27.0,96.64
28.0,96.26
29.0,95.88
30.0,95.5
31.0,95.14
32.0,94.78
33.0,94.42
34.0,94.06
35.0,93.7
36.0,93.3
37.0,92.9
38.0,92.5
39.0,92.10000000000001
40.0,91.7
41.0,91.34
42.0,90.98
43.0,90.62
44.0,90.26
45.0,89.9
46.0,89.54
47.0,89.18
48.0,88.82
49.0,88.46
50.0,88.1
51.0,87.72
52.0,87.34
53.0,86.96
54.0,86.58
55.0,86.2
56.0,85.82000000000001
57.0,85.44
58.0,85.06
59.0,84.67999999999999
60.0,84.3
61.0,83.92
62.0,83.54
63.0,83.16
64.0,82.78
65.0,82.4
66.0,82.0
67.0,81.60000000000001
68.0,81.2
69.0,80.80000000000001
70.0,80.4
71.0,80.06
72.0,79.72
73.0,79.38000000000001
74.0,79.04
75.0,78.7
76.0,78.34
77.0,77.98
78.0,77.62
79.0,77.26
80.0,76.9
81.0,76.58
82.0,76.26
83.0,75.94
84.0,75.62
85.0,75.3
86.0,74.94
87.0,74.58
88.0,74.22
89.0,73.86
90.0,73.5
91.0,73.16
92.0,72.82
93.0,72.48
94.0,72.14
95.0,71.8
96.0,71.46
97.0,71.11999999999999
98.0,70.78
99.0,70.44
100.0,70.1
101.0,69.78
102.0,69.46
103.0,69.14
104.0,68.82
105.0,68.5
106.0,68.18
107.0,67.86
108.0,67.54
109.0,67.22
110.0,66.9
111.0,66.56
112.0,66.22
113.0,65.88000000000001
114.0,65.54
115.0,65.2
116.0,64.88
117.0,64.56
118.0,64.24000000000001
119.0,63.92
120.0,63.6
121.0,63.32
122.0,63.04
123.0,62.760000000000005
124.0,62.480000000000004
125.0,62.2
126.0,61.92
127.0,61.64
128.0,61.36
129.0,61.08
130.0,60.8
131.0,60.5
132.0,60.199999999999996
133.0,59.9
134.0,59.599999999999994
135.0,59.3
136.0,59.0
137.0,58.699999999999996
138.0,58.4
139.0,58.099999999999994
140.0,57.8
141.0,57.54
142.0,57.28
143.0,57.019999999999996
144.0,56.76
145.0,56.5
146.0,56.22
147.0,55.94
148.0,55.660000000000004
149.0,55.38
150.0,55.1
151.0,54.84
152.0,54.58
153.0,54.32
154.0,54.059999999999995
155.0,53.8
156.0,53.519999999999996
157.0,53.239999999999995
158.0,52.96
159.0,52.68
160.0,52.4
161.0,52.14
162.0,51.88
163.0,51.62
164.0,51.36
165.0,51.1
166.0,50.84
167.0,50.58
168.0,50.32
169.0,50.059999999999995
170.0,49.8
171.0,49.54
172.0,49.28
173.0,49.019999999999996
174.0,48.76
175.0,48.5
176.0,48.26
177.0,48.019999999999996
178.0,47.78
179.0,47.54
180.0,47.3
181.0,47.059999999999995
182.0,46.82
183.0,46.58
184.0,46.34
185.0,46.1
186.0,45.88
187.0,45.660000000000004
188.0,45.44
189.0,45.22
190.0,45.0
191.0,44.76
192.0,44.519999999999996
193.0,44.28
194.0,44.04
195.0,43.8
196.0,43.599999999999994
197.0,43.4
198.0,43.199999999999996
199.0,43.0
200.0,42.8
201.0,42.559999999999995
202.0,42.32
203.0,42.08
204.0,41.84
205.0,41.6
206.0,41.4
207.0,41.2
208.0,41.0
209.0,40.800000000000004
210.0,40.6
211.0,40.4
212.0,40.2
213.0,40.0
214.0,39.800000000000004
215.0,39.6
216.0,39.38
217.0,39.160000000000004
218.0,38.94
219.0,38.72
220.0,38.5
221.0,38.32
222.0,38.14
223.0,37.96
224.0,37.78
225.0,37.6
226.0,37.42
227.0,37.24
228.0,37.06
229.0,36.88
230.0,36.7
231.0,36.52
232.0,36.34
233.0,36.16
234.0,35.98
235.0,35.8
236.0,35.62
237.0,35.44
238.0,35.26
239.0,35.08
240.0,34.9
241.0,34.72
242.0,34.54
243.0,34.36
244.0,34.18
245.0,34.0
246.0,33.84
247.0,33.68
248.0,33.52
249.0,33.36
250.0,33.2
251.0,33.04
252.0,32.88
253.0,32.72
254.0,32.56
255.0,32.4
256.0,32.22
257.0,32.04
258.0,31.86
259.0,31.68
260.0,31.5
261.0,31.34
262.0,31.18
263.0,31.02
264.0,30.86
265.0,30.7
266.0,30.54
267.0,30.38
268.0,30.22
269.0,30.06
270.0,29.9
271.0,29.74
272.0,29.58
273.0,29.42
274.0,29.26
275.0,29.1
276.0,28.96
277.0,28.82
278.0,28.68
279.0,28.54
280.0,28.4
281.0,28.259999999999998
282.0,28.119999999999997
283.0,27.98
284.0,27.84
285.0,27.7
286.0,27.54
287.0,27.38
288.0,27.22
289.0,27.06
290.0,26.9
291.0,26.779999999999998
292.0,26.66
293.0,26.54
294.0,26.42
295.0,26.3
296.0,26.16
297.0,26.02
298.0,25.880000000000003
299.0,25.740000000000002
300.0,25.6
301.0,25.46
302.0,25.32
303.0,25.18
304.0,25.04
305.0,24.9
306.0,24.779999999999998
307.0,24.66
308.0,24.54
309.0,24.42
