Xres,Yres
0.0,43.9
1.0,49.4
2.0,54.900000000000006
3.0,60.400000000000006
4.0,65.9
5.0,71.4
6.0,76.2
7.0,81.0
8.0,85.80000000000001
9.0,90.60000000000001
10.0,95.4
11.0,96.28
12.0,97.16
13.0,98.04
14.0,98.92
15.0,99.8
16.0,99.66
17.0,99.52
18.0,99.38
19.0,99.24
20.0,99.1
21.0,98.69999999999999
22.0,98.3
23.0,97.89999999999999
24.0,97.5
25.0,97.1
26.0,96.64
27.0,96.17999999999999
28.0,95.72
29.0,95.25999999999999
30.0,94.8
31.0,94.32
32.0,93.84
33.0,93.36
34.0,92.88000000000001
35.0,92.4
36.0,91.92
37.0,91.44
38.0,90.96000000000001
39.0,90.48
40.0,90.0
41.0,89.54
42.0,89.08
43.0,88.62
44.0,88.16
45.0,87.7
46.0,87.26
47.0,86.82000000000001
48.0,86.38
49.0,85.94
50.0,85.5
51.0,85.04
52.0,84.58
53.0,84.12
54.0,83.66
55.0,83.2
56.0,82.72
57.0,82.24
58.0,81.76
59.0,81.28
60.0,80.8
61.0,80.36
62.0,79.92
63.0,79.47999999999999
64.0,79.03999999999999
65.0,78.6
66.0,78.16
67.0,77.72
68.0,77.28
69.0,76.84
70.0,76.4
71.0,75.96000000000001
72.0,75.52000000000001
73.0,75.08
74.0,74.64
75.0,74.2
76.0,73.78
77.0,73.36
78.0,72.94
79.0,72.52
80.0,72.1
81.0,71.69999999999999
82.0,71.3
83.0,70.89999999999999
84.0,70.5
85.0,70.1
86.0,69.69999999999999
87.0,69.3
88.0,68.89999999999999
89.0,68.5
90.0,68.1
91.0,67.69999999999999
92.0,67.3
93.0,66.89999999999999
94.0,66.5
95.0,66.1
96.0,65.74
97.0,65.38
98.0,65.02
99.0,64.66
100.0,64.3
101.0,63.94
102.0,63.58
103.0,63.22
104.0,62.86
105.0,62.5
106.0,62.14
107.0,61.78
108.0,61.42
109.0,61.06
110.0,60.7
111.0,60.34
112.0,59.980000000000004
113.0,59.62
114.0,59.26
115.0,58.9
116.0,58.54
117.0,58.18
118.0,57.82
119.0,57.46
120.0,57.1
121.0,56.78
122.0,56.46
123.0,56.14
124.0,55.82
125.0,55.5
126.0,55.16
127.0,54.82
128.0,54.48
129.0,54.14
130.0,53.8
131.0,53.5
132.0,53.199999999999996
133.0,52.9
134.0,52.599999999999994
135.0,52.3
136.0,51.98
137.0,51.66
138.0,51.34
139.0,51.02
140.0,50.7
141.0,50.400000000000006
142.0,50.1
143.0,49.800000000000004
144.0,49.5
145.0,49.2
146.0,48.940000000000005
147.0,48.68
148.0,48.42
149.0,48.16
150.0,47.9
151.0,47.62
152.0,47.339999999999996
153.0,47.06
154.0,46.78
155.0,46.5
156.0,46.2
157.0,45.9
158.0,45.6
159.0,45.3
160.0,45.0
161.0,44.74
162.0,44.480000000000004
163.0,44.22
164.0,43.96
165.0,43.7
166.0,43.440000000000005
167.0,43.18
168.0,42.92
169.0,42.66
170.0,42.4
171.0,42.14
172.0,41.88
173.0,41.62
174.0,41.36
175.0,41.1
176.0,40.88
177.0,40.660000000000004
178.0,40.44
179.0,40.22
180.0,40.0
181.0,39.76
182.0,39.519999999999996
183.0,39.28
184.0,39.04
185.0,38.8
186.0,38.58
187.0,38.36
188.0,38.14
189.0,37.92
190.0,37.7
191.0,37.480000000000004
192.0,37.260000000000005
193.0,37.04
194.0,36.82
195.0,36.6
196.0,36.38
197.0,36.160000000000004
198.0,35.94
199.0,35.72
200.0,35.5
201.0,35.28
202.0,35.06
203.0,34.839999999999996
204.0,34.62
205.0,34.4
206.0,34.22
207.0,34.04
208.0,33.86
209.0,33.68
210.0,33.5
211.0,33.3
212.0,33.1
213.0,32.9
214.0,32.7
215.0,32.5
216.0,32.3
217.0,32.1
218.0,31.9
219.0,31.7
220.0,31.5
221.0,31.32
222.0,31.14
223.0,30.96
224.0,30.78
225.0,30.6
226.0,30.44
227.0,30.28
228.0,30.12
229.0,29.96
230.0,29.8
231.0,29.62
232.0,29.44
233.0,29.259999999999998
234.0,29.08
235.0,28.9
236.0,28.72
237.0,28.54
238.0,28.36
239.0,28.18
240.0,28.0
241.0,27.84
242.0,27.68
243.0,27.52
244.0,27.36
245.0,27.2
246.0,27.06
247.0,26.919999999999998
248.0,26.78
249.0,26.64
250.0,26.5
251.0,26.34
252.0,26.18
253.0,26.02
254.0,25.86
255.0,25.7
256.0,25.56
257.0,25.419999999999998
258.0,25.28
259.0,25.14
260.0,25.0
261.0,24.88
262.0,24.759999999999998
263.0,24.64
264.0,24.52
265.0,24.4
266.0,24.259999999999998
267.0,24.119999999999997
268.0,23.98
269.0,23.84
270.0,23.7
271.0,23.56
272.0,23.419999999999998
273.0,23.28
274.0,23.14
275.0,23.0
276.0,22.86
277.0,22.72
278.0,22.580000000000002
279.0,22.44
280.0,22.3
281.0,22.18
282.0,22.06
283.0,21.94
284.0,21.82
285.0,21.7
286.0,21.58
287.0,21.46
288.0,21.34
289.0,21.220000000000002
290.0,21.1
291.0,21.0
292.0,20.900000000000002
293.0,20.8
294.0,20.700000000000003
295.0,20.6
296.0,20.48
297.0,20.36
298.0,20.240000000000002
299.0,20.12
300.0,20.0
301.0,19.88
302.0,19.759999999999998
303.0,19.64
304.0,19.52
305.0,19.4
306.0,19.299999999999997
307.0,19.2
308.0,19.099999999999998
309.0,19.0
