Xres,Yres
0.0,45.7
1.0,51.08
2.0,56.46
3.0,61.839999999999996
4.0,67.22
5.0,72.6
6.0,77.25999999999999
7.0,81.92
8.0,86.58
9.0,91.24000000000001
10.0,95.9
11.0,96.7
12.0,97.5
13.0,98.30000000000001
14.0,99.10000000000001
15.0,99.9
16.0,99.72
17.0,99.54
18.0,99.36
19.0,99.18
20.0,99.0
21.0,98.64
22.0,98.28
23.0,97.92
24.0,97.56
25.0,97.2
26.0,96.74000000000001
27.0,96.28
28.0,95.82000000000001
29.0,95.36
30.0,94.9
31.0,94.46000000000001
32.0,94.02000000000001
33.0,93.58
34.0,93.14
35.0,92.7
36.0,92.28
37.0,91.86
38.0,91.44
39.0,91.02
40.0,90.6
41.0,90.14
42.0,89.67999999999999
43.0,89.22
44.0,88.75999999999999
45.0,88.3
46.0,87.88
47.0,87.46
48.0,87.04
49.0,86.62
50.0,86.2
51.0,85.76
52.0,85.32000000000001
53.0,84.88
54.0,84.44
55.0,84.0
56.0,83.58
57.0,83.16
58.0,82.74000000000001
59.0,82.32000000000001
60.0,81.9
61.0,81.46000000000001
62.0,81.02000000000001
63.0,80.58
64.0,80.14
65.0,79.7
66.0,79.28
67.0,78.86
68.0,78.44
69.0,78.02
70.0,77.6
71.0,77.17999999999999
72.0,76.75999999999999
73.0,76.34
74.0,75.92
75.0,75.5
76.0,75.08
77.0,74.66
78.0,74.24000000000001
79.0,73.82000000000001
80.0,73.4
81.0,73.0
82.0,72.60000000000001
83.0,72.2
84.0,71.80000000000001
85.0,71.4
86.0,71.02000000000001
87.0,70.64
88.0,70.26
89.0,69.88
90.0,69.5
91.0,69.1
92.0,68.7
93.0,68.3
94.0,67.9
95.0,67.5
96.0,67.14
97.0,66.78
98.0,66.42
99.0,66.06
100.0,65.7
101.0,65.34
102.0,64.98
103.0,64.62
104.0,64.26
105.0,63.9
106.0,63.56
107.0,63.22
108.0,62.88
109.0,62.54
110.0,62.2
111.0,61.84
112.0,61.480000000000004
113.0,61.12
114.0,60.76
115.0,60.4
116.0,60.06
117.0,59.72
118.0,59.38
119.0,59.04
120.0,58.7
121.0,58.36
122.0,58.02
123.0,57.68
124.0,57.34
125.0,57.0
126.0,56.7
127.0,56.4
128.0,56.1
129.0,55.8
130.0,55.5
131.0,55.18
132.0,54.86
133.0,54.54
134.0,54.22
135.0,53.9
136.0,53.6
137.0,53.3
138.0,53.0
139.0,52.699999999999996
140.0,52.4
141.0,52.12
142.0,51.839999999999996
143.0,51.56
144.0,51.28
145.0,51.0
146.0,50.72
147.0,50.44
148.0,50.160000000000004
149.0,49.88
150.0,49.6
151.0,49.300000000000004
152.0,49.0
153.0,48.7
154.0,48.4
155.0,48.1
156.0,47.84
157.0,47.58
158.0,47.32
159.0,47.059999999999995
160.0,46.8
161.0,46.519999999999996
162.0,46.239999999999995
163.0,45.96
164.0,45.68
165.0,45.4
166.0,45.14
167.0,44.88
168.0,44.62
169.0,44.36
170.0,44.1
171.0,43.84
172.0,43.58
173.0,43.32
174.0,43.059999999999995
175.0,42.8
176.0,42.58
177.0,42.36
178.0,42.14
179.0,41.92
180.0,41.7
181.0,41.46
182.0,41.22
183.0,40.980000000000004
184.0,40.74
185.0,40.5
186.0,40.28
187.0,40.06
188.0,39.839999999999996
189.0,39.62
190.0,39.4
191.0,39.18
192.0,38.96
193.0,38.739999999999995
194.0,38.519999999999996
195.0,38.3
196.0,38.059999999999995
197.0,37.82
198.0,37.58
199.0,37.34
200.0,37.1
201.0,36.88
202.0,36.660000000000004
203.0,36.44
204.0,36.22
205.0,36.0
206.0,35.8
207.0,35.6
208.0,35.4
209.0,35.2
210.0,35.0
211.0,34.8
212.0,34.6
213.0,34.4
214.0,34.2
215.0,34.0
216.0,33.8
217.0,33.6
218.0,33.4
219.0,33.2
220.0,33.0
221.0,32.82
222.0,32.64
223.0,32.46
224.0,32.28
225.0,32.1
226.0,31.92
227.0,31.740000000000002
228.0,31.56
229.0,31.38
230.0,31.2
231.0,31.02
232.0,30.84
233.0,30.66
234.0,30.48
235.0,30.3
236.0,30.14
237.0,29.98
238.0,29.82
239.0,29.66
240.0,29.5
241.0,29.34
242.0,29.18
243.0,29.02
244.0,28.86
245.0,28.7
246.0,28.52
247.0,28.34
248.0,28.16
249.0,27.98
250.0,27.8
251.0,27.64
252.0,27.48
253.0,27.32
254.0,27.16
255.0,27.0
256.0,26.86
257.0,26.72
258.0,26.580000000000002
259.0,26.44
260.0,26.3
261.0,26.16
262.0,26.02
263.0,25.880000000000003
264.0,25.740000000000002
265.0,25.6
266.0,25.46
267.0,25.32
268.0,25.18
269.0,25.04
270.0,24.9
271.0,24.74
272.0,24.58
273.0,24.42
274.0,24.26
275.0,24.1
276.0,23.98
277.0,23.86
278.0,23.740000000000002
279.0,23.62
280.0,23.5
281.0,23.36
282.0,23.22
283.0,23.080000000000002
284.0,22.94
285.0,22.8
286.0,22.68
287.0,22.56
288.0,22.44
289.0,22.32
290.0,22.2
291.0,22.08
292.0,21.96
293.0,21.84
294.0,21.720000000000002
295.0,21.6
296.0,21.48
297.0,21.36
298.0,21.240000000000002
299.0,21.12
300.0,21.0
301.0,20.88
302.0,20.759999999999998
303.0,20.64
304.0,20.52
305.0,20.4
306.0,20.279999999999998
307.0,20.16
308.0,20.04
309.0,19.92
